카테고리,질문,답
요금,기아멤버스 포인트로 충전요금을 결제하려면 어떻게 해야 하나요?,"SK 일렉링크 앱 로그인 후
① 기아멤버스 포인트를 연결할 멤버십카드 선택: 나→멤버십카드 관리→멤버십카드 옆 점 3개 모양 클릭→대표 멤버십카드 설정
② 선택한 대표 멤버십카드에 기아멤버스 포인트 결제등록: 나→마일리지&제휴포인트→우측 상단 점 3개 모양 클릭→기아멤버스 포인트 추가→기아멤버스 포인트 카드번호와 카드 비밀번호 입력"
요금,블루멤버스 포인트로 충전요금을 결제하려면 어떻게 해야 하나요?,"SK 일렉링크 앱 로그인 후
① 블루멤버스 포인트를 연결할 멤버십카드 선택: 나→멤버십카드 관리→멤버십카드 옆 점 3개 모양 클릭→대표 멤버십카드 설정
② 선택한 대표 멤버십카드에 블루멤버스 포인트 결제등록: 나→마일리지&제휴포인트→우측 상단 점 3개 모양 클릭→블루멤버스 포인트 추가→블루멤버스 포인트 카드번호와 카드 비밀번호 입력"
기타,"구매한 “SK 일렉링크 크래딧”도 있고, 무상으로 제공받은 “SK 일렉링크 크래딧”도 있어요. 마일리지랑 동시 사용이 가능한지 알려주세요.",구매한 “SK 일렉링크 크래딧”으로 결제하시는 충전 건에 대해서는 마일리지와 동시 사용 가능. 비구매 “SK 일렉링크 크래딧”⎯① 별도의 공급계약을 통해 지급된 경우 ② 당사가 무상 제공한 경우⎯으로 결제하시는 충전 건에 대해서는 마일리지와 동시 사용 불가.
기타,“SK 일렉링크 크래딧”과 “마일리지”는 동시 사용이 가능한가요?,"구매한 “SK 일렉링크 크래딧”은 마일리지와 동시 사용 가능 (예컨대, 10,000원 충전료 결제 시, 마일리지에서 10% 상당액인 1,000원 차감 후, 구매한 “SK 일렉링크 크래딧”으로 9,000원 결제 가능). 비구매 “SK 일렉링크 크래딧”⎯① 별도의 공급계약을 통해 지급된 경우 ② 당사가 무상 제공한 경우⎯은 마일리지와 동시 사용 불가."
기타,“SK 일렉링크 크래딧”과 “마일리지”는 어떻게 다른가요?,"“SK 일렉링크 크래딧”은 ① SK 일렉링크 및 제휴로밍충전소에서 현금처럼 사용가능(충전금액 전액 차감가능). ② 이용 가능처: 당사 및 로밍사. ③ 유효기간: 구매건 5년, 비구매건 1년. ⟺ “마일리지”는 ① 결제금액의 10% 한도로 사용가능(충전금액의 10% 차감가능). ② 이용 가능처: 당사. ③ 유효기간: 3년."
기타,“SK 일렉링크 크래딧”의 사용 유효 기간이 있나요?,"구매한 “SK 일렉링크 크래딧”의 사용 유효 기간은 5년입니다. 즉, 구매일로부터 5년이 경과하면 자동 소멸됩니다. 비구매 “SK 일렉링크 크래딧”⎯① SK 일렉링크 크래딧을 별도의 공급계약을 통해 지급된 경우 ② 당사가 고객 서비스 혹은 프로모션을 위해 무상 제공한 경우⎯의 사용 유효 기간은 1년입니다."
기타,SK 일렉링크 앱카드를 사용 중인데 실물카드를 발급받고 싶어요.,"SK 일렉링크 앱 로그인 후 “나” > “멤버십카드 관리” > 해당 앱카드 옆 점 3개 모양 클릭 > “실물카드 발급”을 눌러 발급받으실 수 있습니다. 앱카드를 사용하시다가 추후 실물카드를 발급받고자 하시면, 증정된 실물카드 미발급 크래딧 회수 차원에서 발급 비용(3,000원)을 부담하시게 됩니다."
요금,"[럭키패스] 상시가입되나요? 매월 1일 정기결제라고 되어있는데, 월 중순에 가입할 수도 있나요?","네, 상시 가입되며 가입시점부터 당월말까지 사용기간을 고려하여 일할계산하여 구독료가 자동 결제됩니다."
요금,"[럭키패스] 매월 1일 정기결제라고 되어있는데, 구독시점에 따라 매월 구독료 결제 시기가 다른가요?",상시 가입이 되기 때문에 가입시점부터 해당월 말까지 사용기간을 일할계산하여 구독료가 자동결제됩니다. *ex. 6일 가입 시 5일을 제외하고 25일 치 럭키패스 멤버십 요금이 결제됨. 그리고 다음 달부터 매달 1일에 한 달분 구독료가 청구됩니다.
요금,"[럭키패스] 가입상품 이용량 초과시, 추가로 제공되는 혜택이 있는지, 정상충전요금의 3% 적립만 되는 건지 궁금해요.",가입상품 이용량 초과시 멤버십 일반충전료 정가로 이용하시게 됩니다. *포인트 적립: 할인받아 결제한 금액의 3%가 SK 일렉링크 크래딧으로 적립됨. SK 일렉링크 크래딧은 다음 달 정상결제 후 돌아오는 월요일에 일괄지급됩니다.
