카테고리,질문,답
충전기 사용,SK 일렉링크 회원가입 후 언제부터 충전기 이용이 가능한가요?,"SK 일렉링크 회원으로 가입하실 경우 자동으로 앱카드가 발행되며, 별도의 절차없이 바로 충전기 이용이 가능합니다."
충전기 사용,비회원도 충전기 이용이 가능한가요?,"네, 가능합니다. 회원으로 가입하지 않더라도 비회원 인증 방법을 통해 충전기 이용이 가능하며, 자세한 사항은 SK 일렉링크 홈페이지 “멤버십 소개” > “충전기 이용방법”을 참고해주세요."
충전기 사용,충전기 이용방법이 어떻게 되나요?,"충전기 이용방법은 회원, 비회원으로 나누어지며, 회원은 회원카드 인증, 회원번호 인증, 차량번호 인증 방법이 있고, 비회원은 비회원인증 방법이 있습니다. 자세한 사항은 SK 일렉링크 홈페이지 “멤버십 소개” > “충전기 이용방법”을 참고해주세요."
