충전소주소,충전기타입,충전기ID,충전기명칭,충전기 상태 코드,충전방식,충전소ID,충전소 명칭,위도,경도,충전기 상태 갱신 시각
서울특별시 중구 남대문로 92 1층 주차장,급속,811,급속01,충전가능,DC차데모+DC콤보+AC3상,14,서울직할,37.565199,126.983339,2024-05-27 16:13:34
경상남도 남해군 남해읍 심천리 955-1 정문 우측,급속,464,급속01,충전가능,DC차데모+DC콤보+AC3상,75,남해지사,34.851325596758144,127.8942036494668,2024-05-27 16:15:01
경상남도 창원시 의창구 도계동 908 쎄씨헤어 앞,완속,229,완속03,충전가능,BC타입(5핀),81,의창구청,35.254646,128.639178,2024-05-27 16:15:00
부산광역시 해운대구 우동 1413-4 지하주차장,급속,6891,급속03,충전가능,DC차데모+DC콤보+AC3상,2605,벡스코 제2전시장 지하주차장,35.16556026063979,129.13480091423258,2024-05-27 16:15:00
대구광역시 서구 비산동 312-7 지상주차장(후문 동측 고객용),완속,1050,완속08,충전가능,BC타입(5핀),156,서대구지사,35.869746,128.570835,2024-05-27 16:15:00
충청북도 충주시 교현동 500 야외주차장,급속,6869,급속01,충전가능,DC차데모+DC콤보+AC3상,2591,충주실내체육관,36.982011,127.936914,2024-05-27 16:12:44
전라남도 여수시 율촌면 조화리 65-1 (실외완전노출) 주차장 입구,급속,6026,급속02,충전가능,DC차데모+DC콤보+AC3상,2158,율촌도서관 공영주차장,34.883824,127.578332,2024-05-27 16:15:00
전라남도 무안군 일로읍 청호리 산 23-65(상행) (실외캐노피기설)광주방면국도주차장,급속,688,급속02,고장/점검,DC차데모+DC콤보+AC3상,242,무안 청호쉼터(광주방면 국도),34.788602,126.515277,2023-02-06 18:21:04
경기도 성남시 수정구 태평동 3742 지상주차장 정면,완속,56,완속02,충전중,C타입(5핀),25,성남지사(공용),37.4443895339508,127.13051937519,2024-05-27 16:15:00
경기도 안양시 동안구 호계동 921 지상주차장 입구 좌측 담장측,급속,360,급속01,충전가능,DC차데모+DC콤보+AC3상,27,안양지사,37.3838866689132,126.947281339203,2024-05-27 16:16:22
서울특별시 구로구 고척동 63-6 지하주차장옆 비상도로(지상),급속,8034,급속01,충전가능,DC차데모+DC콤보+AC3상,3028,고척스카이돔,37.49852664014724,126.86627418191368,2024-05-27 16:14:18
제주특별자치도 서귀포시 서귀동 284-1 서귀동 284-1,급속,8037,급속01,충전가능,DC차데모+DC콤보+AC3상,3029,제주권역재활센터,33.2527601186048,126.5622876671,2024-05-27 16:11:38
대구광역시 북구 유통단지로 45 뒷편 지상주차장,급속,1427,급속04,충전가능,DC차데모+DC콤보+AC3상,401,대구유통단지 전자관,35.908173,128.60655,2024-05-27 16:14:28
경상남도 통영시 광도면 죽림리 1575-2 건물정면 앞 지상주차장,급속,1377,급속01,충전중,DC차데모+DC콤보+AC3상,85,통영지사(공용),34.882401,128.416489,2024-05-27 16:15:00
전라북도 군산시 사정동 152 월명 종합 체육관 야구장 주차장,급속,6834,급속01,충전가능,DC차데모+DC콤보+AC3상,2561,월명종합체육관,35.96614971336146,126.74918875169784,2024-05-27 16:12:31
충청북도 청주시 청원구 우암동 354-23 지하주차장,급속,6850,급속02,충전가능,DC차데모+DC콤보+AC3상,2574,청원구청,36.650882,127.486301,2024-05-27 16:14:08
서울특별시 중구 남대문로 92 1층 주차장,급속,6659,급속02,충전가능,DC차데모+DC콤보+AC3상,14,서울직할,37.565199,126.983339,2024-05-27 16:13:21
"경상남도 하동군 하동읍 경서대로 83 (광평리, 한국전력하동지점) 정문앞",급속,1147,급속01,충전가능,DC차데모+DC콤보+AC3상,322,하동지사,35.064694483219114,127.7455966812308,2024-05-27 16:13:19
전라남도 목포시 석현동 247 (실외완전노출)주차장 우측 끝,급속,6733,급속01,충전가능,DC차데모+DC콤보+AC3상,2487,목포유통센터,34.8193212817207,126.429724306002,2024-05-27 16:15:12
대전광역시 동구 용전동 21-9 전기공사협회 주차장,급속,5982,급속01,충전가능,DC차데모+DC콤보+AC3상,2127,전기공사협회 주차장,36.3538737581936,127.439326954805,2024-05-27 16:14:08
경상북도 안동시 옥동1길 2 2층주차장 입구옆(남측),급속,6076,급속01,충전가능,DC차데모+DC콤보+AC3상,2193,이마트 안동점,36.55834,128.699027,2024-05-27 16:16:48
강원도 원주시 문막읍 건등리 1718 문막읍 사무소 주차장화장실 옆,급속,5942,급속01,충전가능,DC차데모+DC콤보+AC3상,2094,문막읍사무소,37.31201,127.817375,2024-05-27 16:17:41
대구광역시 북구 원대로 110 사옥내 주차장,급속,180,급속01[VP],충전가능,DC차데모+DC콤보+AC3상,61,대구직할(공용),35.886482,128.583484,2024-05-27 16:17:05
강원도 평창군 대관령면 용산리 425 홀리데이인스위트 지상주차장,급속,6680,급속01,충전가능,DC차데모+DC콤보+AC3상,2442,알펜시아리조트,37.65831,128.671943,2024-05-27 16:15:16
강원도 정선군 정선읍 봉양리 267 군청옆 지상주차장,급속,6683,급속01,충전중,DC차데모+DC콤보+AC3상,2444,정선군청,37.380487,128.661244,2024-05-27 16:15:00
전라남도 여수시 중흥동 1695-1 (실외완전노출) 주차장 입구,급속,6009,급속01,충전가능,DC차데모+DC콤보+AC3상,2150,공단119 인근 주차장,34.8398272489419,127.694488041129,2024-05-27 16:15:00
전라남도 여수시 남산동 710 (실외완전노출) 주차장 끝지점,급속,6018,급속02,충전가능,DC차데모+DC콤보+AC3상,2154,배수펌프 주차장,34.7372798075061,127.731700136585,2024-05-27 16:15:59
전라남도 여수시 여서동 222-2 (실외완전노출) 주차장 출입구 좌측,급속,6022,급속02,충전가능,DC차데모+DC콤보+AC3상,2156,여서청사 주차장,34.754196,127.708545,2024-05-27 16:14:19
전라남도 여수시 수정동 280 (실외완전노출) 주차장 옥상층,급속,6015,급속01,고장/점검,DC차데모+DC콤보+AC3상,2153,동백공영주차장,34.74195475034658,127.75148713089203,2024-05-13 14:20:00
전라남도 목포시 옥암동 1249 (실외완전노출)지상주차장,급속,6737,급속01,충전가능,DC차데모+DC콤보+AC3상,2490,부주동 행정복지센터,34.8104711135416,126.447623921263,2024-05-27 16:14:17
서울특별시 강북구 미아동 190-1 지하 1층 주차장,급속,40,급속01,충전가능,DC차데모+DC콤보+AC3상,10,강북성북지사(공용),37.630923,127.024819,2024-05-27 16:17:25
경상북도 경주시 동천동 804 사내주차장 후문 우측,급속,1360,급속01,충전가능,DC차데모+DC콤보+AC3상,271,경주지사,35.854436,129.224947,2024-05-27 16:16:02
강원도 강릉시 입암동 448 강릉축협하나로마트 지상주차장,급속,5950,급속01,충전가능,DC차데모+DC콤보+AC3상,2101,강릉축협 하나로마트,37.754163,128.91264,2024-05-27 16:13:04
전라남도 여수시 미평동 668-5 (실외완전노출) 주차장 내부,급속,6024,급속02,통신장애,DC차데모+DC콤보+AC3상,2157,여수농협 미평,34.7701038719125,127.704563742785,2023-11-03 08:13:46
전라남도 순천시 대대동 162-2 (실외완전노출)주차장 입구 좌측,급속,6747,급속01,고장/점검,DC차데모+DC콤보+AC3상,2500,순천만습지 주차장,34.886206,127.507793,2024-05-27 16:17:24
충청남도 금산군 금산읍 중도리 22-1 금산수삼센터주차장,급속,6782,급속01,충전가능,DC차데모+DC콤보+AC3상,2523,금산수삼센터주차장,36.098999708809664,127.49641476904232,2024-05-27 16:15:00
대전광역시 중구 대둔산로 199번길 43 2층 주차장,급속,5984,급속02,충전가능,DC차데모+DC콤보+AC3상,2128,㈜농협대전유통,36.289046,127.377512,2024-05-27 16:15:00
전라북도 완주군 삼례읍 삼례리 1691-2 건물 뒤편 주차장,급속,6830,급속01,충전가능,DC차데모+DC콤보+AC3상,2558,삼례읍사무소,35.913281,127.078473,2024-05-27 16:13:31
경기도 고양시 일산동구 백석동 1242 지하4층,급속,5882,급속01,충전가능,DC차데모+DC콤보+AC3상,2041,고양종합터미널환승주차장,37.6432335720454,126.789698784174,2024-05-27 16:14:32
부산광역시 사하구 하단동 1149-35 을숙도 공원내 테니스장 주차장,급속,6798,급속02,통신장애,DC차데모+DC콤보+AC3상,2532,을숙도 공영주차장,35.1093071653,128.9461857869,2024-05-27 14:20:00
부산광역시 강서구 송정동 1759 야외주차장,급속,6800,급속01,충전가능,DC차데모+DC콤보+AC3상,2534,녹산산단 공영주차장,35.0840487074,128.8402306044,2024-05-27 16:15:06
울산광역시 북구 진장동 286-2 차량등록사업소 내,급속,6802,급속02,충전중,DC차데모+DC콤보+AC3상,2535,차량등록사업소(2개소),35.57129451100289,129.35599977478316,2024-05-27 16:15:00
경상북도 포항시 북구 양덕동 1473 3층 주차장,급속,6052,급속01,충전가능,DC차데모+DC콤보+AC3상,2177,하나로마트 포항점,36.082069,129.398427,2024-05-27 16:17:00
전라남도 목포시 옥암동 915-25 (실내지상)1층매장 출구나가기 전,급속,6003,급속02,충전가능,DC차데모+DC콤보+AC3상,2145,이마트 목포점,34.8116448744585,126.425176465529,2024-05-27 16:15:49
